Country,Year,Production,Commodity
Slovakia,2022,72.0,aluminum
Slovenia,2022,34.0,aluminum
South Africa,2022,718.0,aluminum
Sweden,2022,120.0,aluminum
Tajikistan,2022,62.0,aluminum
United Arab Emirates,2022,2650.0,aluminum
United Kingdom,2022,40.0,aluminum
United States,2022,861.0,aluminum
"Venezuela, Bolivarian Republic of",2022,47.0,aluminum
Brazil,2019,30.0,cobalt
China,2019,1742.0,cobalt
Finland,2019,1454.0,cobalt
South Africa,2019,1027.0,cobalt
Zambia,2019,878.0,cobalt
Zimbabwe,2019,402.0,cobalt
Brazil,2020,160.0,cobalt
China,2020,2000.0,cobalt
Finland,2020,1559.0,cobalt
South Africa,2020,897.0,cobalt
Zambia,2020,316.0,cobalt
Zimbabwe,2020,956.0,cobalt
Brazil,2021,266.0,cobalt
China,2021,2000.0,cobalt
Finland,2021,1084.0,cobalt
South Africa,2021,355.0,cobalt
Zambia,2021,247.0,cobalt
Zimbabwe,2021,345.0,cobalt
Brazil,2022,291.0,cobalt
China,2022,2000.0,cobalt
Finland,2022,1235.0,cobalt
South Africa,2022,250.0,cobalt
Zambia,2022,251.0,cobalt
Zimbabwe,2022,241.0,cobalt
Brazil,2023,300.0,cobalt
China,2023,2000.0,cobalt
Finland,2023,1057.0,cobalt
South Africa,2023,378.0,cobalt
Zambia,2023,207.0,cobalt
Zimbabwe,2023,336.0,cobalt
Cote d'Ivoire,2018,3600.0,nickel
Cote d'Ivoire,2019,9100.0,nickel
Cote d'Ivoire,2020,18600.0,nickel
Cote d'Ivoire,2021,20000.0,nickel
Cote d'Ivoire,2022,22000.0,nickel
